date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:35	6005/6005	---M-Z	200	added ('OK')	application/javascript	etag:%228ecc32bdc4ba5e70ff87da0cff56f273%22	https://d335luupugsy2.cloudfront.net/js/rd/stable/rdlps-progressive-profiling.min.js?t=1719410759	C:/Meus%20Sites/design/d335luupugsy2.cloudfront.net/js/rd/stable/rdlps-progressive-profiling.min0a99.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:35	6327/6327	---M-Z	200	added ('OK')	application/javascript	etag:%2209d8f026c294e9600e50befb6b611e71%22	https://d335luupugsy2.cloudfront.net/js/rd/stable/rdlps-autofill.min.js?t=1719410759	C:/Meus%20Sites/design/d335luupugsy2.cloudfront.net/js/rd/stable/rdlps-autofill.min0a99.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:35	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	C:/Meus%20Sites/design/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:35	78743/78743	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213397-kBFpUnUH/55mLPZNjjYfNZMIlw0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	C:/Meus%20Sites/design/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:36	41172/41172	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Aug%202024%2011:06:54%20GMT	https://snap.licdn.com/li.lms-analytics/insight.min.js	C:/Meus%20Sites/design/snap.licdn.com/li.lms-analytics/insight.min.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:36	3334/3334	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e589a8c83eddfadbc4c8ebbb14c0f129%22	https://d335luupugsy2.cloudfront.net/js/loader-scripts/9af75f73-f20f-4c59-98f8-f1f9f1f625e0-loader.js	C:/Meus%20Sites/design/d335luupugsy2.cloudfront.net/js/loader-scripts/9af75f73-f20f-4c59-98f8-f1f9f1f625e0-loader.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:36	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Meus%20Sites/design/www.google-analytics.com/analytics.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:37	231864/231864	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Oct%202024%2016:00:38%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/design/connect.facebook.net/en_US/fbevents.js	(from https://materiais.ao4.com.br/fee?gad_source=1&gclid=CjwKCAjw_4S3BhAAEiwA_64YhtdbdbVfWwWJbQY_XtsSUYgXYJMPca-j7uQ3YwxHtWGWz2Ou6fayehoC9aIQAvD_BwE)
13:00:37	518/518	---M-Z	200	added ('OK')	image/png	etag:%225eb03fcb-206%22	https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.png	C:/Meus%20Sites/design/cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.png	(from https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.min.css)
13:00:37	1849/1849	---M-Z	200	added ('OK')	image/gif	etag:%225eb03fcb-739%22	https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2-spinner.gif	C:/Meus%20Sites/design/cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2-spinner.gif	(from https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.min.css)
13:00:38	654/654	---M-Z	200	added ('OK')	image/png	etag:%225eb03fcb-28e%22	https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2x2.png	C:/Meus%20Sites/design/cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2x2.png	(from https://cdnjs.cloudflare.com/ajax/libs/select2/3.5.2/select2.min.css)
13:00:39	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2013%20Oct%202024%2016:00:40%20GMT	https://materiais.ao4.com.br/a	C:/Meus%20Sites/design/materiais.ao4.com.br/a.14.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
13:00:39	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2013%20Oct%202024%2016:00:41%20GMT	https://materiais.ao4.com.br/POST	C:/Meus%20Sites/design/materiais.ao4.com.br/POST.15.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
13:00:40	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2013%20Oct%202024%2016:00:42%20GMT	https://materiais.ao4.com.br/b.resolvedLink	C:/Meus%20Sites/design/materiais.ao4.com.br/b.16.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
13:00:40	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2013%20Oct%202024%2016:00:42%20GMT	https://materiais.ao4.com.br/schema.org/	C:/Meus%20Sites/design/materiais.ao4.com.br/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:00:40	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2013%20Oct%202024%2016:00:42%20GMT	https://materiais.ao4.com.br/	C:/Meus%20Sites/design/materiais.ao4.com.br/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:00:41	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2013%20Oct%202024%2016:00:43%20GMT	https://materiais.ao4.com.br/signals/iwl.js	C:/Meus%20Sites/design/materiais.ao4.com.br/signals/iwl.17.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
